First,Last
Ram,Devi
Mohammed,Singh
Sunita,Kumar
Sri,Das
Anita,Kaur
Santosh,Ram
Sanjay,Yadav
Sunil,Kumari
Rajesh,Lal
Gita,Bai
Ramesh,Khatun
Ashok,Mandal
Rekha,Ali
Manoj,Sharma
Anil,Ray
Suresh,Mondal
Vijay,Khan
Lakshmi,Sah
Abdul,Patel
Mohammad,Prasad
Raju,Patil
Manju,Ghosh
Shanti,Pal
Vinod,Sahu
Suman,Gupta
Rajendra,Shaikh
Raj,Bibi
Usha,Sekh
Asha,Begam
Dinesh,Biswas
Rakesh,Sarkar
Krishna,Paramar
Mina,Khatoon
Kiran,Mahto
Dilip,Ansari
Pushpa,Nayak
Ajay,Ma
Laxmi,Rathod
Urmila,Jadhav
Mukesh,Mahato
Amit,Rani